linea_compra_id,compra_id,producto_id,cantidad,coste_unitario
159,32,88,29,7.89
160,32,23,198,20.8
161,32,49,20,17.43
162,32,72,77,5.64
163,33,43,129,28.53
164,33,20,20,6.57
165,33,42,162,2.51
166,34,74,150,14.64
167,34,41,144,9.19
168,34,24,143,3.19
169,34,65,50,16.93
170,34,69,113,4.13
171,34,29,64,26.7
172,35,80,145,19.26
173,35,72,176,0.85
174,35,86,98,18.1
175,35,83,167,36.78
176,36,15,108,10.64
177,36,37,16,36.5
178,36,48,141,32.21
179,36,58,134,2.23
180,36,84,59,13.15
181,36,11,34,7.11
182,37,9,63,26.98
183,37,28,185,17.26
184,37,14,62,21.74
185,37,90,199,31.12
186,37,83,28,30.0
187,37,20,16,18.64
188,37,43,19,3.96
189,37,7,55,31.87
190,38,53,109,18.32
191,38,52,120,13.0
192,38,50,182,5.17
193,38,1,174,28.95
194,38,9,200,23.63
195,39,38,185,12.4
196,39,12,82,30.73
197,39,57,107,16.11
198,40,29,44,30.0
199,40,70,85,38.43
200,40,19,86,27.25
201,40,83,105,38.32
202,40,2,151,35.05
203,40,19,41,2.15
204,40,74,162,16.07
205,41,45,64,16.8
206,41,83,141,6.13
207,41,24,66,24.87
208,41,33,59,5.03
209,42,60,175,22.21
210,42,38,181,3.16
211,42,13,60,29.16
212,42,63,94,14.61
213,42,86,177,9.76
214,42,37,168,3.26
215,42,25,91,19.69
216,43,75,49,22.84
217,43,47,90,38.37
218,43,22,11,12.87
219,43,29,192,29.72
220,43,56,80,33.68
221,43,18,183,29.45
222,43,62,128,18.09
223,43,40,134,22.29
224,44,18,147,8.26
225,44,81,29,29.23
226,44,3,139,25.45
227,44,75,158,16.5
228,44,76,64,36.3
229,45,20,103,16.0
230,45,76,197,34.36
231,45,18,128,20.29
232,45,12,111,14.87
233,45,2,179,9.94
234,45,79,185,7.05
235,45,66,45,18.13
236,45,23,154,37.97
237,46,6,66,30.58
238,46,30,26,10.94
239,46,30,20,26.91
240,46,67,102,15.83
241,46,59,21,2.08
242,47,36,199,10.9
243,47,70,155,7.37
244,47,84,106,14.93
245,47,84,29,20.91
246,47,49,67,20.9
247,47,46,98,19.73
248,47,62,164,0.76
249,47,18,122,7.04
250,48,20,57,6.72
251,48,78,193,32.77
252,48,85,68,16.88
253,48,43,194,4.98
254,49,21,175,33.42
255,49,3,72,2.2
256,49,74,161,6.86
257,49,81,141,2.05
258,49,74,47,2.71
259,49,34,56,20.91
260,49,52,163,38.79
261,50,28,124,24.46
262,50,61,133,7.24
263,50,53,163,6.14
264,51,85,140,10.95
265,51,88,97,36.93
266,51,77,161,3.22
267,51,49,108,5.72
268,51,3,61,21.15
269,51,65,185,17.08
270,51,20,165,4.3
271,52,65,40,4.18
272,52,85,43,36.13
273,52,70,10,35.93
274,52,87,176,17.54
275,52,54,104,35.06
276,52,90,145,17.44
277,52,62,107,14.35
278,53,33,132,30.75
279,53,11,82,24.13
280,53,70,114,10.68
281,53,1,191,29.87
282,54,67,11,15.31
283,54,27,186,32.27
284,54,53,102,4.71
285,55,69,118,22.8
286,55,79,80,39.68
287,55,51,62,16.82
288,55,72,133,7.56
289,55,72,152,19.61
290,56,51,198,5.95
291,56,85,40,30.04
292,56,58,189,38.0
293,56,13,64,20.58
294,56,44,150,24.75
295,56,88,190,2.56
296,56,50,172,0.71
297,56,12,47,19.13
298,57,34,66,15.15
299,57,78,19,29.12
300,57,52,167,26.42
301,58,82,136,17.84
302,58,26,178,37.26
303,58,67,83,8.19
304,58,77,140,20.87
305,59,5,102,9.95
306,59,1,50,3.93
307,59,36,112,14.45
308,59,51,113,23.65
309,59,67,13,29.61
310,59,9,33,22.21
311,59,72,159,14.25
312,59,36,67,24.45
313,60,1,76,7.41
314,60,65,37,22.57
315,60,65,85,13.93
316,60,15,141,38.29
317,60,69,157,10.38
318,60,57,106,22.75
319,60,32,96,38.47
320,61,4,133,5.09
321,61,9,107,25.53
322,61,29,183,28.2
323,61,41,115,38.24
324,61,67,147,0.88
325,61,34,73,11.85
326,61,52,182,30.08
327,62,41,100,9.13
328,62,74,78,7.72
329,62,88,58,20.21
330,62,26,70,29.55
331,62,34,62,9.55
332,62,32,168,14.56
333,63,85,136,24.75
334,63,70,20,34.0
335,63,48,168,12.96
336,63,74,80,19.89
337,63,66,81,16.22
338,63,74,42,2.64
339,63,55,132,37.62
340,63,5,138,14.22
341,64,67,127,12.97
342,64,2,13,27.13
343,64,49,158,4.48
344,64,47,166,34.54
345,64,24,150,10.88
346,64,35,130,38.36
347,64,44,103,7.76
348,64,55,63,17.05
349,65,58,56,23.07
350,65,74,185,9.53
351,65,13,194,11.16
352,65,31,152,17.57
353,65,49,60,6.26
354,66,54,137,5.81
355,66,81,142,21.59
356,66,41,134,12.35
357,66,72,155,2.38
358,67,28,75,19.32
359,67,81,34,18.27
360,67,43,76,14.76
361,68,3,115,5.29
362,68,87,165,8.36
363,68,74,176,26.14
364,68,23,82,14.53
365,68,87,140,19.76
366,69,79,83,18.82
367,69,19,52,25.8
368,69,44,117,25.44
369,69,74,113,34.03
370,69,10,30,6.9
371,69,30,90,13.02
372,70,83,111,11.21
373,70,57,102,30.04
374,70,67,125,16.85
375,70,24,15,5.44
376,70,31,179,10.44
377,70,90,30,8.82
378,70,51,36,4.27
379,71,51,144,30.72
380,71,11,36,10.87
381,71,20,31,26.37
382,72,37,123,25.25
383,72,17,144,33.62
384,72,4,18,26.71
385,72,42,131,18.95
386,73,57,44,38.8
387,73,90,148,7.49
388,73,77,126,25.43
389,73,82,154,17.68
390,73,82,173,21.58
391,73,45,133,21.82
392,73,12,123,12.66
393,74,2,10,21.17
394,74,18,98,11.83
395,74,69,12,27.67
396,74,63,132,12.33
397,74,56,84,24.08
398,75,53,153,17.77
399,75,32,51,28.74
400,75,83,109,33.22
401,75,29,77,3.63
402,76,84,200,21.51
403,76,35,115,7.93
404,76,9,56,5.9
405,76,15,173,18.49
406,76,58,79,28.17
407,77,20,22,38.8
408,77,3,57,38.91
409,77,37,78,5.44
410,78,12,48,1.08
411,78,28,97,17.1
412,78,64,105,18.82
413,78,5,94,3.67
414,79,10,149,19.07
415,79,25,74,32.78
416,79,2,41,39.0
417,79,32,108,30.96
418,79,57,73,29.64
419,79,5,60,18.7
420,80,50,184,38.47
421,80,42,50,25.35
422,80,6,200,37.53
423,80,67,41,10.51
424,80,82,86,8.35
425,80,7,180,9.1
426,81,2,52,31.88
427,81,75,40,16.13
428,81,32,12,38.77
429,81,75,186,19.27
430,81,77,49,15.17
431,82,12,185,24.94
432,82,81,25,2.86
433,82,83,49,28.2
434,82,14,42,19.77
435,82,41,152,31.65
436,82,45,122,29.46
437,83,18,74,36.0
438,83,63,190,17.78
439,83,38,148,28.03
440,83,25,155,7.87
441,83,45,92,29.43
442,84,68,49,18.25
443,84,34,148,15.0
444,84,1,173,20.49
445,85,47,168,9.93
446,85,9,178,38.7
447,85,50,58,21.2
448,85,64,151,6.59
449,85,37,92,16.69
450,85,42,38,4.3
451,85,85,27,2.23
452,86,14,134,8.07
453,86,5,156,25.85
454,86,50,178,19.85
455,86,80,189,23.82
456,87,10,13,37.24
457,87,27,177,19.91
458,87,11,129,32.14
459,87,8,102,22.54
460,87,54,104,31.87
461,87,8,167,11.0
462,87,6,197,3.28
463,88,13,35,29.14
464,88,69,108,7.98
465,88,68,178,10.33
466,88,81,55,22.56
467,88,72,116,29.97
468,88,82,157,14.64
469,88,59,189,26.78
470,89,52,139,13.83
471,89,21,146,39.94
472,89,57,100,36.15
473,89,71,93,33.87
474,89,53,172,17.51
475,89,42,165,10.01
476,89,70,64,15.31
477,90,58,124,38.41
478,90,1,195,1.87
479,90,37,162,1.14
480,90,18,87,0.76
481,90,29,64,34.3
482,91,66,152,23.04
483,91,74,49,4.22
484,91,59,101,6.67
485,91,34,103,35.64
486,91,32,69,10.62
487,91,39,33,23.03
488,91,73,65,29.5
489,92,63,186,28.26
490,92,13,162,25.87
491,92,5,197,32.43
492,92,49,30,31.31
493,93,16,68,30.03
494,93,78,12,25.54
495,93,81,107,2.64
496,93,68,20,13.11
497,93,73,48,13.41
498,93,90,66,6.55
499,94,29,120,11.95
500,94,51,47,5.72
501,94,11,131,23.07
502,95,11,112,20.32
503,95,90,43,30.6
504,95,62,153,8.33
505,95,51,176,23.07
506,95,72,167,39.88
507,96,35,120,13.27
508,96,74,32,4.94
509,96,53,118,14.93
510,97,84,16,30.9
511,97,22,99,24.84
512,97,57,169,6.26
513,97,6,69,8.39
514,97,48,49,30.43
515,97,11,38,29.71
516,97,32,168,37.11
517,98,15,88,18.28
518,98,3,94,8.76
519,98,69,64,8.55
520,98,67,76,22.18
521,98,80,196,39.7
522,98,89,188,26.9
523,98,49,159,36.29
524,98,68,21,10.59
525,99,80,79,2.6
526,99,84,12,3.13
527,99,85,79,26.69
528,99,85,102,34.64
529,99,3,84,34.76
530,99,84,108,9.63
531,99,49,140,39.08
532,99,13,90,19.64
533,100,26,138,38.69
534,100,72,192,1.35
535,100,32,145,12.54
536,100,63,110,29.9
537,101,81,87,9.83
538,101,65,80,32.57
539,101,81,75,35.21
540,101,4,152,37.99
541,101,29,48,14.0
542,102,49,143,38.44
543,102,79,170,27.62
544,102,54,71,23.13
545,103,70,43,8.67
546,103,18,158,21.88
547,103,26,45,12.71
548,103,68,44,17.49
549,103,19,177,37.35
550,103,21,91,3.18
551,104,41,47,29.22
552,104,41,115,38.47
553,104,39,123,29.95
554,104,82,199,11.31
555,105,4,166,24.87
556,105,78,155,24.69
557,105,77,69,9.62
558,105,4,101,3.64
559,106,61,192,26.16
560,106,24,109,19.91
561,106,18,51,8.13
562,106,5,114,30.7
563,106,2,79,38.03
564,106,29,200,27.02
565,106,26,62,3.11
566,107,42,127,35.56
567,107,55,113,31.16
568,107,78,198,33.06
569,107,41,110,24.65
570,107,74,162,21.68
571,107,83,190,31.58
572,107,67,37,18.34
573,107,6,72,20.99
574,108,50,142,30.72
575,108,7,58,12.0
576,108,51,87,31.06
577,108,37,128,7.08
578,108,38,166,36.8
579,108,89,142,36.2
580,108,60,175,18.34
581,109,90,149,5.84
582,109,53,92,18.31
583,109,23,126,23.82
584,109,26,126,4.06
585,109,42,187,26.12
586,109,21,193,29.46
587,109,12,39,28.4
588,110,50,196,31.75
589,110,66,166,38.02
590,110,49,150,15.53
591,110,22,95,22.84
592,110,85,48,6.9
593,110,19,55,30.88
594,110,7,117,12.67
595,110,58,83,25.24
596,111,1,169,30.73
597,111,2,127,20.16
598,111,64,149,32.39
599,111,78,136,9.9
600,112,53,123,3.64
601,112,77,11,10.17
602,112,71,81,24.98
603,112,72,63,2.43
604,112,19,24,26.3
605,112,5,47,34.23
606,113,12,22,4.8
607,113,23,51,27.05
608,113,79,179,27.81
609,113,77,156,31.6
610,113,23,126,30.1
611,114,39,92,15.06
612,114,49,27,30.46
613,114,71,26,12.07
614,115,68,115,21.22
615,115,90,63,24.68
616,115,14,156,29.32
617,115,81,145,39.49
618,115,62,195,27.7
619,116,68,157,39.8
620,116,46,43,24.76
621,116,64,143,29.3
622,116,64,136,32.42
623,116,79,69,28.49
624,117,60,170,31.97
625,117,27,167,39.96
626,117,53,21,13.68
627,118,82,61,27.76
628,118,33,27,12.66
629,118,65,150,13.29
630,119,51,195,22.97
631,119,4,54,8.16
632,119,44,182,19.42
633,119,61,19,26.0
634,119,62,49,25.27
635,120,53,200,2.71
636,120,67,86,22.82
637,120,87,90,22.43
638,120,3,63,23.31
639,120,43,100,3.12
640,120,20,81,33.71
641,121,74,165,15.89
642,121,77,39,34.65
643,121,40,190,34.38
644,121,5,79,16.85
645,122,58,87,9.04
646,122,39,54,4.93
647,122,5,61,36.58
648,122,57,139,1.48
649,122,62,138,6.59
650,123,68,89,31.13
651,123,19,35,32.97
652,123,67,183,39.71
653,123,27,195,1.94
654,123,50,192,34.66
655,123,15,11,12.78
656,123,6,185,34.0
657,123,12,95,18.94
658,124,40,15,23.31
659,124,40,173,35.74
660,124,42,61,8.11
661,124,36,146,13.11
662,124,57,181,5.15
663,124,20,50,11.31
664,124,2,169,22.61
665,124,14,62,21.93
666,125,37,156,10.17
667,125,10,89,24.72
668,125,44,148,18.02
669,125,17,17,19.09
670,126,12,119,15.98
671,126,77,161,25.36
672,126,89,189,18.11
673,127,86,146,3.6
674,127,60,155,5.71
675,127,90,129,4.34
676,127,40,185,25.95
677,128,19,167,10.69
678,128,47,110,7.74
679,128,86,94,31.66
680,128,42,126,19.76
681,129,62,128,33.91
682,129,37,99,24.38
683,129,17,140,4.57
684,129,14,93,22.47
685,129,10,87,21.54
686,130,80,72,22.14
687,130,62,108,3.11
688,130,27,187,23.84
689,130,56,155,31.6
690,131,85,181,3.58
691,131,74,134,5.02
692,131,77,128,13.35
693,131,13,123,7.46
694,132,77,107,13.43
695,132,83,179,2.93
696,132,28,45,35.55
697,132,82,10,30.4
698,132,85,48,18.39
699,132,38,109,24.82
700,132,58,60,8.62
701,132,41,86,23.03
702,133,45,32,23.52
703,133,79,140,16.47
704,133,17,85,2.97
705,133,71,23,0.53
706,133,72,101,4.83
707,133,37,17,9.79
708,133,90,161,16.07
709,133,41,192,15.62
710,134,23,131,5.99
711,134,72,108,33.81
712,134,47,116,6.59
713,134,86,42,5.8
714,134,10,175,1.12
715,134,63,178,17.75
716,134,18,31,5.92
717,134,54,126,35.8
718,135,24,126,20.62
719,135,71,125,15.7
720,135,29,57,17.28
721,135,1,157,20.18
722,135,31,192,20.32
723,135,53,149,23.27
724,135,5,19,22.94
725,136,11,46,29.34
726,136,68,81,18.86
727,136,11,143,35.65
728,136,12,72,19.16
729,136,85,181,3.58
730,136,82,148,32.02
731,136,40,166,2.58
732,136,44,146,31.25
733,137,74,197,13.59
734,137,46,85,11.92
735,137,5,187,36.95
736,137,39,196,31.51
737,137,34,25,25.36
738,137,75,53,23.13
739,138,63,31,5.51
740,138,10,81,10.46
741,138,79,81,11.37
742,138,33,13,29.79
743,138,78,54,36.45
744,139,23,76,31.41
745,139,31,134,7.64
746,139,68,18,14.04
747,139,11,47,24.02
748,139,20,136,30.23
749,140,85,122,29.18
750,140,22,63,23.32
751,140,45,23,25.87
752,140,15,23,7.12
753,141,69,69,15.5
754,141,50,131,10.87
755,141,68,121,0.97
756,141,58,107,27.3
757,141,68,184,38.26
758,141,13,146,25.68
759,142,35,78,32.19
760,142,33,177,23.57
761,142,60,182,30.09
762,142,87,160,30.93
763,142,67,96,27.27
764,143,2,27,0.97
765,143,13,144,4.6
766,143,58,99,9.17
767,143,37,74,8.13
768,143,4,168,4.13
769,143,77,178,35.81
770,143,28,163,25.7
771,143,16,32,34.33
772,144,90,57,10.51
773,144,60,179,37.48
774,144,82,126,36.95
775,145,86,92,10.66
776,145,10,80,31.2
777,145,49,109,13.64
778,145,8,76,38.25
779,145,34,55,17.9
780,145,63,61,24.61
781,145,23,175,19.94
782,145,19,148,30.86
783,146,34,36,1.88
784,146,10,156,29.24
785,146,58,14,35.91
786,146,20,177,25.79
787,146,5,180,15.92
788,146,20,189,13.53
789,147,63,132,17.72
790,147,9,148,9.42
791,147,50,186,32.81
792,147,62,41,22.91
793,147,46,95,27.43
794,147,52,24,25.47
795,147,83,33,14.93
796,148,83,61,7.48
797,148,6,108,26.6
798,148,39,188,15.91
799,148,14,171,27.71
800,148,63,31,35.47
801,149,5,59,1.5
802,149,76,71,19.82
803,149,9,148,25.91
804,149,64,146,38.62
805,150,8,96,31.62
806,150,6,113,5.17
807,150,84,180,21.16
808,150,87,147,6.38
809,150,75,69,37.03
810,151,84,14,19.11
811,151,80,21,10.09
812,151,84,43,1.07
813,151,81,22,36.23
814,151,13,126,24.64
815,151,76,26,32.8
816,152,79,66,2.99
817,152,26,119,13.83
818,152,87,112,13.31
819,152,88,157,22.06
820,152,42,64,30.69
821,152,76,54,13.75
822,152,16,80,6.08
823,153,22,122,10.12
824,153,75,20,5.77
825,153,81,166,15.36
826,153,21,14,35.25
827,153,11,11,0.79
828,153,12,190,26.24
829,153,37,116,27.89
830,154,19,173,11.2
831,154,58,115,9.95
832,154,23,166,27.82
833,154,77,56,28.83
834,155,54,11,22.53
835,155,25,40,39.47
836,155,13,168,14.8
837,155,70,139,9.16
838,155,81,178,8.72
839,156,88,131,20.15
840,156,21,181,36.95
841,156,7,175,14.89
842,156,27,121,10.43
843,157,14,199,2.57
844,157,69,55,6.74
845,157,4,134,20.84
846,158,57,161,23.4
847,158,54,60,30.01
848,158,42,68,31.27
849,158,42,68,4.37
850,158,53,61,15.33
851,158,29,28,19.1
852,158,63,23,35.67
853,158,19,65,37.15
854,159,18,127,28.93
855,159,81,101,39.03
856,159,26,95,5.52
857,159,89,155,2.86
858,159,18,38,34.14
859,160,29,85,24.34
860,160,82,166,36.27
861,160,74,151,34.27
862,160,12,115,34.35
863,160,63,65,23.87
864,161,55,198,34.97
865,161,32,93,17.65
866,161,29,161,37.88
867,161,74,11,17.0
868,161,6,20,39.66
869,161,65,18,17.32
870,161,51,132,32.48
871,161,90,35,18.37
872,162,53,65,5.74
873,162,38,71,26.08
874,162,12,14,19.45
875,162,40,51,28.28
876,162,74,159,1.46
877,162,59,128,30.99
878,162,52,57,31.7
879,162,48,170,18.84
880,163,89,95,21.47
881,163,38,119,30.24
882,163,90,166,21.93
883,163,27,185,3.7
884,163,43,198,37.32
885,163,66,182,14.88
886,164,60,168,2.11
887,164,47,54,26.1
888,164,9,153,28.52
889,164,27,45,39.26
890,164,31,148,4.99
891,165,29,92,14.43
892,165,35,138,27.37
893,165,36,23,3.0
894,165,45,125,19.71
895,165,68,41,19.07
896,165,69,183,33.1
897,165,38,125,25.03
898,165,87,187,32.45
899,166,11,110,35.97
900,166,37,29,4.82
901,166,36,38,28.03
902,167,81,15,12.08
903,167,88,148,37.3
904,167,61,98,17.1
905,167,83,15,12.01
906,167,9,15,34.94
907,167,30,143,25.96
908,167,53,158,14.04
909,168,57,127,12.51
910,168,17,88,7.28
911,168,34,68,19.63
912,168,37,22,6.36
913,168,37,126,38.27
914,168,80,51,28.62
915,168,37,56,38.94
916,169,6,91,23.19
917,169,57,76,15.1
918,169,27,153,28.43
919,170,58,148,39.03
920,170,69,87,5.3
921,170,4,113,37.28
922,170,19,127,37.15
923,170,20,11,38.82
924,171,38,131,35.89
925,171,74,180,6.31
926,171,73,196,36.32
927,171,57,96,27.72
928,171,62,20,6.01
929,171,71,39,12.67
930,171,52,168,33.71
931,171,58,101,4.15
932,172,68,66,31.36
933,172,36,60,1.39
934,172,69,124,27.24
935,172,12,141,16.08
936,172,63,91,24.33
937,172,66,24,36.38
938,172,47,111,6.34
939,173,2,82,14.12
940,173,40,124,35.03
941,173,12,65,29.25
942,173,57,199,39.71
943,173,57,83,6.97
944,174,76,163,3.9
945,174,27,87,19.25
946,174,68,95,3.11
947,174,76,106,3.99
948,175,23,152,18.75
949,175,73,45,8.37
950,175,49,84,22.38
951,175,6,87,33.47
952,175,39,136,22.59
953,175,60,67,1.56
954,176,82,172,19.17
955,176,84,180,35.76
956,176,54,55,19.93
957,176,89,175,10.17
958,176,16,80,19.98
959,177,62,154,17.72
960,177,34,170,27.59
961,177,89,40,15.24
962,177,74,14,33.89
963,177,21,158,2.81
964,177,41,128,35.19
965,177,18,101,6.95
966,178,46,22,11.95
967,178,68,173,37.48
968,178,66,59,30.77
969,178,24,34,24.15
970,178,22,149,13.24
971,178,41,185,32.1
972,178,35,185,28.07
973,178,47,34,21.61
974,179,18,142,11.62
975,179,63,115,13.94
976,179,21,36,9.11
977,180,79,186,33.34
978,180,68,146,28.65
979,180,90,39,16.99
980,180,10,39,32.84
981,180,3,132,14.25
982,180,89,102,5.99
983,180,57,162,21.16
984,181,16,66,5.58
985,181,89,46,27.68
986,181,40,42,8.79
987,182,3,133,30.41
988,182,6,60,4.76
989,182,85,141,23.93
990,183,9,87,26.87
991,183,13,41,36.84
992,183,27,160,36.1
993,184,12,47,33.91
994,184,36,158,14.24
995,184,21,138,31.34
996,185,9,35,32.87
997,185,2,145,9.07
998,185,25,82,7.29
999,185,69,11,38.96
1000,185,13,64,36.86
1001,185,61,103,28.08
1002,185,24,122,27.1
1003,186,55,64,20.81
1004,186,53,38,30.58
1005,186,41,41,18.9
1006,186,67,44,20.08
1007,186,47,190,11.89
1008,186,6,31,13.46
1009,187,77,198,12.82
1010,187,57,67,22.38
1011,187,38,119,7.96
1012,187,9,131,37.59
1013,187,48,55,1.01
1014,187,87,135,27.05
1015,188,87,31,5.21
1016,188,51,112,27.95
1017,188,14,199,37.05
1018,188,22,26,14.87
1019,188,26,96,8.41
1020,188,52,41,9.7
1021,188,55,195,20.21
1022,188,75,161,11.28
1023,189,78,113,39.51
1024,189,66,81,6.32
1025,189,59,37,5.33
1026,189,63,137,9.62
1027,189,18,17,4.43
1028,189,7,27,20.18
1029,189,4,55,15.61
1030,189,87,93,6.53
1031,190,85,143,30.82
1032,190,60,61,12.1
1033,190,64,135,20.44
1034,191,56,40,15.65
1035,191,41,106,17.98
1036,191,5,18,7.49
1037,192,56,44,12.84
1038,192,50,134,30.68
1039,192,73,182,19.88
1040,192,71,185,21.81
1041,192,61,131,22.71
1042,192,21,139,2.7
1043,193,87,100,30.78
1044,193,37,92,2.93
1045,193,76,21,5.56
1046,193,47,99,32.48
1047,193,75,16,30.73
1048,193,81,97,15.53
1049,193,55,98,39.68
1050,194,32,73,9.77
1051,194,40,161,3.86
1052,194,89,26,34.82
1053,194,15,96,7.21
1054,194,69,93,1.98
1055,194,85,118,22.94
1056,194,54,78,1.31
1057,194,61,160,1.38
1058,195,74,35,32.43
1059,195,13,186,27.17
1060,195,44,137,20.36
1061,195,86,96,7.08
1062,195,39,103,38.79
1063,196,28,83,10.97
1064,196,39,156,16.38
1065,196,29,169,29.84
1066,196,12,193,33.85
1067,196,13,161,13.81
1068,196,9,155,32.15
1069,196,61,119,8.78
1070,197,39,120,26.71
1071,197,41,61,16.87
1072,197,33,169,20.86
1073,197,86,150,7.63
1074,197,3,170,28.28
1075,197,24,157,20.22
1076,197,85,200,37.56
1077,198,56,154,29.2
1078,198,8,143,8.43
1079,198,60,47,9.99
1080,198,88,86,33.84
1081,198,53,91,34.48
1082,198,9,172,8.54
1083,198,53,78,33.04
1084,199,31,39,6.42
1085,199,4,72,31.98
1086,199,40,128,19.67
1087,199,56,118,26.05
1088,199,5,61,6.79
1089,199,18,17,10.71
1090,200,6,194,19.69
1091,200,3,24,34.45
1092,200,11,90,24.26
1093,200,9,114,35.92
1094,200,86,178,35.49
1095,200,51,195,33.79
1096,200,31,38,23.05
1097,200,65,40,21.12
1098,201,64,33,9.9
1099,201,16,90,13.51
1100,201,75,198,15.9
1101,201,31,118,9.11
1102,201,14,54,8.96
1103,202,76,24,19.87
1104,202,48,189,37.97
1105,202,41,149,17.24
1106,202,88,73,38.55
1107,202,19,102,19.27
1108,203,83,165,1.87
1109,203,85,23,27.78
1110,203,86,71,10.49
1111,204,16,146,34.74
1112,204,57,109,0.81
1113,204,51,75,12.39
1114,204,31,86,8.81
1115,204,21,122,25.44
1116,204,83,114,31.68
1117,204,36,30,33.02
1118,204,63,130,29.61
1119,205,21,188,10.81
1120,205,9,100,17.12
1121,205,71,198,13.41
1122,206,83,57,25.39
1123,206,83,44,0.62
1124,206,26,170,12.57
1125,206,74,31,4.88
1126,206,32,142,28.69
1127,206,84,43,33.95
1128,206,88,115,31.81
1129,206,41,125,19.4
1130,207,76,93,32.08
1131,207,26,31,16.87
1132,207,24,110,35.12
1133,207,74,67,1.32
1134,207,3,152,26.06
1135,207,81,68,36.32
1136,207,60,60,10.84
1137,207,22,22,16.34
1138,208,12,104,7.22
1139,208,73,40,1.06
1140,208,68,121,31.05
1141,208,59,182,20.02
1142,209,35,83,29.98
1143,209,49,43,17.54
1144,209,27,163,9.01
1145,209,37,196,27.25
1146,210,4,84,39.06
1147,210,31,168,18.31
1148,210,32,104,23.52
1149,210,83,127,3.89
