venta_id,fecha,tienda_id,empleado_id,cliente_id,metodo_pago,total
374,2024-04-03,3,48,798,Otros,913.12
375,2025-05-24,20,150,2120,Otros,541.77
376,2024-01-25,8,87,0,Efectivo,1909.91
377,2024-09-25,19,97,1596,Otros,960.3
378,2025-12-26,10,165,1234,Otros,929.57
379,2024-11-11,9,14,0,Otros,99.8
380,2024-07-12,9,154,2212,Bizum,885.19
381,2025-06-09,14,173,0,Tarjeta,658.12
382,2024-01-25,3,35,0,Bizum,1415.57
383,2025-01-05,18,107,0,Bizum,1751.54
384,2023-11-11,11,142,0,Efectivo,1649.71
385,2023-02-07,4,98,1554,Bizum,564.7
386,2023-05-02,17,160,1104,Tarjeta,1762.34
387,2025-04-18,18,16,1616,Otros,1183.07
388,2025-10-21,8,156,0,Bizum,1439.51
389,2025-02-27,6,106,2016,Tarjeta,2082.07
390,2025-02-17,11,40,1352,Bizum,1813.7
391,2025-07-28,19,36,1843,Otros,1706.81
392,2024-12-16,10,153,180,Tarjeta,1058.72
393,2024-07-21,17,102,2360,Otros,2161.54
394,2023-07-19,4,129,499,Tarjeta,2536.53
395,2023-05-30,7,79,0,Otros,1455.79
396,2025-04-21,20,140,2579,Bizum,567.26
397,2024-08-10,13,55,2875,Bizum,450.57
398,2025-11-24,7,195,2453,Tarjeta,2675.52
399,2023-09-17,14,190,1379,Efectivo,1850.0
400,2024-08-16,19,181,0,Tarjeta,742.68
401,2023-09-02,5,72,0,Tarjeta,131.82
402,2024-06-06,15,156,1040,Bizum,460.52
403,2024-05-25,14,103,2095,Tarjeta,715.56
404,2023-11-06,9,171,1276,Otros,513.0
405,2023-10-31,20,111,2620,Efectivo,787.14
406,2024-08-14,5,17,0,Tarjeta,506.23
407,2024-11-17,8,52,632,Otros,1892.02
408,2023-06-19,1,13,2766,Tarjeta,1005.65
409,2025-12-23,18,167,2126,Efectivo,1000.95
410,2023-08-18,7,82,2948,Tarjeta,721.05
411,2023-11-06,10,126,348,Efectivo,908.92
412,2025-02-26,14,171,922,Otros,377.52
413,2023-07-04,5,129,0,Bizum,1590.41
414,2023-05-19,20,195,136,Tarjeta,960.24
415,2023-09-19,8,9,426,Tarjeta,641.1
416,2025-09-10,17,39,262,Otros,1280.17
417,2024-03-05,16,95,1718,Otros,2044.85
418,2023-08-09,7,120,1647,Tarjeta,876.4
419,2024-02-18,2,68,0,Tarjeta,1382.33
420,2023-12-25,20,22,2341,Efectivo,2101.11
421,2024-12-14,19,143,1479,Bizum,1107.98
422,2023-10-01,5,15,0,Bizum,436.6
423,2024-12-14,14,151,1570,Bizum,211.94
424,2024-11-14,5,52,634,Otros,1417.59
425,2025-11-03,3,90,0,Tarjeta,899.83
426,2025-08-18,20,191,893,Otros,1991.18
427,2024-06-26,6,23,1170,Bizum,1644.39
428,2023-09-14,13,19,0,Bizum,1506.46
429,2024-02-06,20,178,0,Otros,1854.53
430,2023-11-17,1,121,0,Efectivo,880.92
431,2024-01-19,17,160,2336,Bizum,418.11
432,2025-05-05,12,147,0,Bizum,2218.27
433,2023-12-04,7,61,738,Tarjeta,117.13
434,2024-02-04,3,183,2916,Otros,1582.19
435,2023-10-10,13,106,2914,Efectivo,940.23
436,2024-09-28,18,172,1896,Efectivo,398.12
437,2023-11-08,8,173,943,Otros,226.98
438,2024-05-20,13,192,0,Bizum,873.51
439,2025-08-01,14,106,1336,Efectivo,386.98
440,2025-08-16,1,94,834,Tarjeta,1095.17
441,2023-07-04,10,139,0,Tarjeta,185.64
442,2023-02-09,14,75,722,Efectivo,1589.17
443,2024-12-22,10,30,2669,Bizum,916.39
444,2023-09-06,19,154,2365,Efectivo,405.0
445,2024-08-10,6,194,1627,Efectivo,275.77
446,2025-12-31,12,117,2603,Efectivo,683.82
447,2025-04-23,14,99,1466,Otros,342.78
448,2024-11-26,7,81,1633,Tarjeta,381.56
449,2023-04-02,20,41,276,Efectivo,743.61
450,2025-02-23,6,29,0,Efectivo,1270.01
451,2025-06-19,12,45,768,Bizum,909.12
452,2024-08-15,11,181,592,Otros,1986.23
453,2023-07-20,3,123,0,Tarjeta,150.85
454,2023-05-04,5,197,0,Efectivo,3191.97
455,2023-05-02,1,57,2845,Tarjeta,1033.03
456,2024-11-25,18,183,0,Bizum,911.47
457,2025-09-04,11,46,0,Otros,355.15
458,2025-12-12,16,69,322,Bizum,364.91
459,2023-12-13,17,51,1498,Bizum,1446.92
460,2023-10-09,17,156,0,Bizum,1085.95
461,2025-12-21,3,134,1396,Bizum,1344.91
462,2023-03-25,8,173,2656,Bizum,1056.68
463,2024-06-05,15,3,0,Bizum,2461.48
464,2024-01-02,3,198,0,Otros,1045.92
465,2024-09-06,13,82,0,Efectivo,196.51
466,2023-05-04,10,89,0,Otros,23.17
467,2023-05-27,3,79,668,Tarjeta,176.29
468,2024-10-22,20,58,2140,Efectivo,662.41
469,2024-05-05,15,15,829,Otros,1627.67
470,2023-10-31,12,158,0,Bizum,567.53
471,2025-10-11,2,197,0,Otros,144.92
472,2025-02-07,1,111,400,Tarjeta,1778.58
473,2024-02-13,13,1,0,Tarjeta,918.76
474,2025-06-08,17,162,1171,Otros,226.66
475,2025-07-12,13,119,2435,Otros,396.67
476,2023-08-04,10,161,2208,Tarjeta,187.82
477,2023-11-10,1,111,2787,Efectivo,1648.01
478,2025-12-31,6,94,1562,Tarjeta,1254.56
479,2023-09-29,2,50,0,Otros,1842.04
480,2024-04-28,15,146,1505,Efectivo,712.74
481,2025-06-20,12,49,1608,Otros,892.05
482,2024-10-03,4,144,0,Tarjeta,1465.99
483,2025-01-05,10,46,739,Efectivo,1207.87
484,2023-11-14,2,36,991,Bizum,41.49
485,2023-04-08,19,23,2181,Tarjeta,1319.71
486,2024-05-05,17,122,2791,Bizum,1967.57
487,2023-05-04,2,113,0,Efectivo,957.39
488,2025-07-03,5,53,0,Efectivo,314.59
489,2024-02-08,2,110,2277,Otros,1972.9
490,2023-10-20,9,13,2305,Efectivo,114.48
491,2025-05-20,13,42,2272,Otros,681.27
492,2023-08-14,15,171,987,Efectivo,2106.03
493,2023-11-02,13,153,2768,Otros,555.53
494,2025-06-05,2,14,2322,Efectivo,399.74
495,2025-04-09,8,51,0,Otros,642.49
496,2023-12-19,20,41,2183,Efectivo,258.67
497,2024-12-27,10,143,0,Otros,1472.91
498,2023-03-07,7,7,137,Otros,875.95
499,2025-08-13,13,60,1150,Otros,1732.06
500,2023-06-02,1,49,0,Otros,1140.35
501,2023-12-10,11,33,0,Otros,2090.69
502,2025-08-03,4,55,2517,Efectivo,1990.77
503,2023-01-11,14,149,1368,Bizum,610.39
504,2024-11-11,18,191,2744,Efectivo,947.01
505,2024-06-21,12,5,2089,Efectivo,2039.1
506,2024-02-17,11,70,39,Tarjeta,1288.18
507,2023-11-29,8,140,1476,Bizum,1738.1
508,2025-02-28,15,80,0,Otros,421.14
509,2024-08-27,17,48,0,Otros,2005.11
510,2024-08-23,12,64,2661,Bizum,981.1
511,2023-12-13,3,146,2156,Otros,1855.64
512,2024-02-07,19,78,0,Otros,1276.97
513,2023-01-10,17,111,929,Bizum,2159.25
514,2025-07-16,12,37,1203,Tarjeta,1379.67
515,2023-12-30,19,183,336,Tarjeta,1745.34
516,2024-08-27,19,151,0,Bizum,617.71
517,2023-09-18,18,50,0,Tarjeta,1009.44
518,2024-03-24,7,58,0,Efectivo,686.15
519,2023-02-10,15,148,0,Tarjeta,1537.21
520,2024-08-21,15,124,903,Tarjeta,1050.2
521,2023-07-20,3,92,1992,Otros,1416.1
522,2023-10-27,16,105,1540,Otros,1741.67
523,2025-06-29,13,63,2018,Otros,317.41
524,2025-09-13,1,186,0,Tarjeta,499.5
525,2024-11-04,13,145,1939,Bizum,1013.56
526,2025-12-12,17,142,0,Tarjeta,611.59
527,2025-09-27,14,25,0,Bizum,2731.36
528,2024-01-01,12,38,1614,Tarjeta,1360.88
529,2025-05-15,19,185,2249,Otros,2.88
530,2025-10-14,20,151,0,Bizum,1096.34
531,2023-12-16,20,10,2758,Efectivo,1610.47
532,2023-12-10,18,36,1718,Tarjeta,1570.18
533,2024-11-24,1,189,28,Efectivo,1580.48
534,2023-02-08,19,84,0,Tarjeta,559.98
535,2023-12-25,3,151,860,Tarjeta,1982.6
536,2024-09-30,9,79,1842,Otros,1462.94
537,2024-08-06,5,64,0,Otros,1147.75
538,2025-05-20,18,48,0,Efectivo,564.5
539,2023-04-09,4,195,734,Bizum,1968.98
540,2024-04-01,12,196,2074,Bizum,367.68
541,2023-08-12,4,64,480,Otros,1235.25
542,2023-02-13,18,5,519,Efectivo,309.28
543,2025-04-09,4,179,1228,Otros,590.11
544,2023-06-08,20,17,576,Otros,622.38
545,2023-07-04,16,28,1960,Tarjeta,875.25
546,2023-03-10,16,21,1594,Otros,1547.05
