compra_id,fecha,tienda_id,proveedor_id,total
125,2024-07-09,18,6,6778.09
126,2025-02-24,2,2,9407.37
127,2024-11-11,12,5,6771.26
128,2024-04-19,15,8,8102.43
129,2023-08-20,3,8,11357.59
130,2025-04-26,13,10,11286.04
131,2024-04-28,18,12,3947.04
132,2023-08-11,13,2,9951.11
133,2025-06-09,10,15,9563.65
134,2024-03-08,13,7,13494.03
135,2025-05-21,20,15,16518.37
136,2025-09-13,12,2,19732.49
137,2025-11-15,16,8,18635.93
138,2023-02-25,10,13,4294.61
139,2025-07-03,5,11,8903.86
140,2025-02-23,14,13,5787.89
141,2024-09-09,13,8,16321.06
142,2024-07-12,14,10,19725.81
143,2023-01-22,6,6,14553.72
144,2024-01-14,5,7,11963.69
145,2025-05-24,9,13,18412.97
146,2023-08-06,7,10,15119.46
147,2023-01-08,13,10,14484.99
148,2025-07-30,11,2,12158.14
149,2024-01-24,15,12,10968.92
150,2023-03-17,15,1,10921.46
151,2023-10-17,2,12,5279.94
152,2025-10-15,4,2,9990.31
153,2025-01-27,14,3,12622.83
154,2023-09-17,16,12,9314.45
155,2024-09-08,20,2,7138.43
156,2023-08-19,2,4,13195.38
157,2025-07-17,20,13,3674.69
158,2024-04-26,3,15,12696.61
159,2025-03-04,15,3,9881.16
160,2023-12-17,15,7,18766.29
161,2023-01-30,15,5,20886.46
162,2023-01-26,8,2,13147.92
163,2023-05-25,1,14,20060.61
164,2025-02-23,2,2,8632.66
165,2024-03-05,16,12,23673.44
166,2025-07-26,3,4,5161.62
167,2024-02-23,16,3,14012.25
168,2025-12-21,11,8,12166.45
169,2024-05-02,5,3,7607.68
170,2023-10-30,11,6,15595.25
171,2024-11-09,18,9,22313.99
172,2024-02-04,2,10,11589.09
173,2025-03-01,14,6,15883.61
174,2025-04-28,14,12,3028.84
175,2024-07-13,14,11,11195.22
176,2024-06-21,1,3,14208.34
177,2025-01-10,3,10,14153.49
178,2025-05-09,9,6,23222.42
179,2023-10-22,12,14,3581.1
180,2024-01-21,17,4,18247.41
181,2024-09-15,11,3,2010.74
182,2023-08-17,3,7,7704.26
183,2024-06-02,16,2,9624.13
184,2024-12-20,6,11,8168.61
185,2025-10-31,20,4,12049.42
186,2024-12-27,4,3,6828.66
187,2024-08-03,4,7,13616.65
188,2025-12-06,13,8,18013.57
189,2025-09-01,13,6,8577.71
190,2023-07-17,20,10,7904.76
191,2023-02-06,18,6,2666.7
192,2023-12-03,10,15,15679.4
193,2025-02-12,9,8,12566.57
194,2023-04-26,14,6,6146.19
195,2025-03-10,11,7,13653.04
196,2023-06-04,7,8,23293.28
197,2024-09-10,3,11,24398.25
198,2025-12-27,9,15,16265.74
199,2024-04-28,6,5,8740.86
200,2023-12-27,9,11,25551.91
201,2025-12-11,19,13,6249.62
202,2025-04-16,9,8,15001.66
203,2024-09-23,12,14,1692.28
204,2025-01-13,13,5,18402.34
205,2025-05-15,11,12,6399.46
206,2023-04-17,1,13,15379.67
207,2023-12-22,5,5,14898.81
208,2024-06-16,14,10,8193.97
209,2024-02-21,8,12,10052.19
210,2025-04-16,14,3,9297.23
211,2024-10-24,16,3,22840.05
212,2024-09-11,20,7,7367.34
213,2025-10-19,2,3,12493.04
214,2024-01-22,15,1,2028.08
215,2025-07-26,18,8,16674.76
216,2023-06-07,6,7,2862.36
217,2023-06-16,5,1,13219.71
218,2023-05-25,2,12,7787.35
219,2023-09-26,10,15,6852.0
220,2025-05-22,14,11,4959.84
221,2025-12-10,16,9,9531.04
222,2025-05-25,8,9,7155.22
223,2025-10-28,3,13,7716.75
224,2025-07-20,10,6,17911.01
225,2025-01-08,16,5,17806.96
226,2023-08-27,14,1,12546.17
227,2024-11-14,13,1,14516.46
228,2025-09-25,10,1,16804.4
229,2024-12-11,4,8,15085.77
230,2025-03-10,10,12,18447.0
231,2024-04-25,16,5,4364.4
232,2023-08-22,11,7,16179.83
233,2023-07-28,4,2,12565.39
234,2025-08-28,1,4,11763.81
235,2025-05-28,5,13,15919.82
236,2023-03-17,13,13,30025.83
237,2025-06-24,7,15,14359.74
238,2025-05-15,10,12,10158.03
239,2024-04-23,18,14,11361.03
240,2025-05-21,5,12,14237.92
241,2025-05-03,16,12,5600.5
242,2025-01-26,6,9,2669.03
243,2024-09-13,10,6,5020.05
244,2024-09-26,14,8,23401.42
245,2023-04-04,11,9,25453.72
246,2025-12-25,4,11,11561.72
247,2025-10-03,19,1,2980.02
248,2023-12-11,4,9,4606.07
249,2025-04-25,11,3,8174.15
250,2025-04-13,15,9,1258.84
251,2023-09-15,18,11,9890.69
252,2025-08-09,1,14,16203.5
253,2023-09-09,3,7,16185.19
254,2024-05-18,15,5,13121.15
255,2025-06-30,1,15,20297.98
256,2025-10-08,8,4,6579.34
257,2023-12-26,19,11,8288.09
258,2023-02-17,9,4,20710.16
259,2024-07-23,8,1,7130.46
260,2025-09-09,4,1,15246.63
261,2023-09-13,15,10,1421.22
262,2025-06-03,20,11,4235.97
263,2023-01-22,14,4,13249.42
264,2023-09-16,7,15,12940.14
265,2025-11-26,12,1,16250.1
266,2024-11-18,19,10,19082.64
267,2023-01-14,13,3,3672.18
268,2024-06-20,8,15,18528.47
269,2023-10-23,3,2,8347.58
270,2023-11-01,18,5,7510.4
271,2025-11-08,13,13,17269.6
272,2023-03-16,19,11,6247.56
273,2023-06-22,5,13,7109.14
274,2025-06-23,1,3,7644.4
275,2023-03-20,3,6,10640.07
276,2025-11-15,1,8,9595.5
277,2024-01-20,11,14,11593.79
278,2024-09-05,13,13,9313.39
279,2025-12-30,13,2,8662.02
280,2024-02-26,13,5,5584.55
281,2025-05-06,4,3,17918.32
282,2023-01-16,9,4,5526.73
283,2025-07-23,10,11,17628.81
284,2025-03-16,19,2,19823.87
285,2025-11-02,9,4,8441.35
286,2023-03-19,7,7,6129.51
287,2024-05-11,3,9,9786.45
288,2023-04-08,15,12,9867.1
289,2023-07-17,3,4,13375.27
290,2025-07-28,13,4,14843.74
291,2023-12-18,4,12,8599.38
292,2025-07-08,1,10,13143.03
293,2023-11-07,10,4,12941.66
294,2024-05-11,11,6,6872.67
295,2023-01-13,15,11,8028.59
296,2024-02-23,19,9,3293.73
297,2024-02-17,19,8,8611.12
298,2023-06-20,13,7,8079.48
299,2024-01-24,7,3,10585.23
300,2025-09-29,12,7,7904.12
301,2023-04-29,12,12,22065.0
302,2025-02-26,3,11,16247.02
303,2024-12-06,4,11,7999.68
304,2024-08-13,14,11,10985.97
305,2024-08-23,6,2,4499.06
306,2023-05-06,4,1,12545.18
307,2024-12-03,12,11,17158.24
308,2023-09-09,5,1,26506.26
309,2025-09-19,15,4,16339.26
310,2025-08-14,3,5,11299.5
311,2024-10-30,1,3,20392.17
312,2024-12-03,20,2,13118.79
313,2023-01-04,11,7,16010.79
314,2025-08-01,1,9,8932.57
315,2025-09-06,4,5,27951.31
316,2025-08-27,11,7,10127.09
317,2023-12-02,10,8,31718.34
318,2024-12-29,2,2,12290.98
319,2023-07-03,13,13,11020.65
320,2024-01-06,4,13,10594.46
321,2023-09-12,17,14,5823.35
322,2023-11-27,7,11,5053.22
323,2025-05-16,18,3,13609.14
324,2024-03-18,7,3,13312.06
325,2025-02-01,7,12,11687.03
326,2024-11-14,3,6,15371.11
327,2025-12-19,16,2,12082.59
328,2023-09-19,13,8,20385.98
329,2025-07-26,20,7,11794.98
330,2025-04-12,3,5,9408.2
331,2025-10-16,5,8,20615.38
332,2025-12-08,6,11,8916.12
333,2024-05-26,11,15,14476.27
334,2023-01-11,12,2,7728.7
335,2025-08-21,9,4,10063.7
336,2025-03-19,2,3,17075.15
337,2023-08-13,13,3,1307.08
338,2023-01-17,11,7,11846.57
339,2025-10-25,4,12,13780.02
340,2024-11-19,8,4,6043.15
341,2024-08-07,11,4,11761.82
342,2025-01-31,17,10,7415.61
343,2025-07-01,7,4,11697.02
344,2024-01-28,2,3,17208.77
345,2023-04-04,5,5,12234.8
346,2025-11-16,1,15,13736.18
347,2023-09-30,9,15,12650.71
348,2024-08-26,14,15,13048.85
349,2024-06-11,13,11,13950.47
350,2024-07-31,6,11,6497.42
351,2025-04-04,8,8,2115.36
352,2023-03-31,1,13,2059.36
353,2025-06-28,5,8,6183.42
354,2025-11-13,10,2,8364.8
355,2023-06-06,10,6,14242.46
356,2024-06-27,12,15,13345.48
357,2024-11-13,14,10,7685.62
358,2024-03-25,14,9,13136.14
359,2023-02-23,13,12,22852.38
360,2024-11-21,16,7,9259.47
361,2025-10-24,9,15,14900.12
362,2023-06-08,20,14,10095.51
363,2024-02-18,10,4,13143.25
364,2025-10-28,11,7,3769.32
365,2023-07-11,15,2,17077.62
366,2023-06-03,20,10,12635.93
367,2024-08-28,11,3,8210.36
368,2025-09-26,5,2,7160.45
369,2023-06-20,11,6,13391.63
370,2025-12-31,15,8,11291.5
371,2023-11-15,2,9,11278.9
372,2023-12-27,9,11,5800.41
373,2023-04-21,9,3,6737.27
374,2025-06-13,6,12,18527.81
375,2023-11-05,11,1,17478.28
376,2023-12-07,14,12,18306.2
377,2024-11-18,14,9,7720.31
378,2024-08-03,14,11,11753.11
379,2025-08-19,7,14,8548.49
380,2024-08-03,8,9,11175.89
381,2025-05-30,11,3,9475.6
382,2024-10-13,6,7,10278.99
383,2023-06-11,20,12,14250.55
384,2023-07-31,1,11,1873.88
385,2024-03-01,12,15,13027.09
386,2023-03-06,6,11,9783.85
387,2023-03-02,4,4,12605.84
388,2025-10-12,10,8,12388.06
389,2024-10-14,9,14,11217.64
390,2024-01-16,11,7,4244.63
391,2024-04-21,11,15,11903.89
392,2023-04-06,16,8,4795.22
393,2025-04-04,10,3,3714.73
394,2024-12-09,9,6,23354.97
395,2023-08-04,1,3,9869.46
396,2024-06-24,10,2,16561.06
397,2025-12-16,4,9,7368.23
398,2024-05-11,18,14,19925.58
399,2025-10-30,5,14,8680.27
400,2024-07-23,7,2,7530.43
401,2023-06-22,9,2,5544.07
402,2024-07-19,13,3,10208.04
403,2024-03-26,13,2,16415.69
404,2025-08-29,5,1,7610.29
405,2024-04-12,10,14,12844.17
406,2023-08-19,20,8,18878.16
407,2024-02-27,14,6,19697.9
408,2025-06-06,20,2,13369.72
409,2023-03-25,1,8,7354.89
410,2025-10-25,10,13,14384.3
411,2024-10-22,19,7,17024.96
412,2024-12-26,12,8,18620.4
413,2024-08-23,19,15,9110.39
414,2024-07-07,3,1,21677.79
415,2024-09-28,10,11,15553.49
416,2025-06-18,18,5,8775.65
417,2023-02-27,14,3,10299.8
418,2023-01-19,15,5,9045.31
419,2025-07-30,19,6,26738.49
420,2023-04-03,13,2,8229.03
421,2023-12-23,8,2,18364.71
422,2024-02-17,10,4,18557.71
423,2024-12-31,17,6,6873.09
424,2023-11-20,12,2,8404.52
425,2024-06-18,11,7,8636.57
426,2023-05-25,2,6,15776.06
427,2023-04-24,8,1,11591.97
428,2025-02-11,13,13,16757.72
429,2023-04-27,2,2,7024.78
430,2024-05-27,3,2,19946.43
431,2023-06-10,16,5,5647.49
432,2023-02-13,15,2,9123.18
433,2023-04-18,14,9,19361.26
434,2025-05-18,18,8,20325.66
435,2024-05-28,9,11,8863.47
436,2024-01-04,3,8,13635.4
437,2024-10-11,15,10,6191.76
438,2024-12-17,20,4,5158.63
439,2025-05-23,14,2,6469.91
440,2023-02-22,5,15,12651.78
441,2023-03-08,7,7,19917.12
442,2024-05-14,19,5,10481.15
443,2025-09-18,12,11,19833.92
444,2025-10-09,5,10,12428.16
445,2024-08-23,18,4,4593.09
446,2025-04-17,12,8,27645.21
447,2024-08-31,4,4,16471.85
448,2024-10-05,19,15,2785.05
449,2023-08-06,9,10,9199.18
450,2025-09-27,7,1,5621.9
451,2023-08-13,10,15,18722.34
452,2023-03-20,11,15,12430.08
453,2025-09-19,16,3,5608.02
454,2025-05-06,6,1,20418.14
455,2025-07-04,10,7,12875.45
456,2024-08-18,8,1,9729.36
457,2025-09-21,2,5,22677.78
458,2023-04-11,18,2,12268.86
459,2023-11-18,16,1,10173.36
460,2023-01-31,14,1,19158.48
461,2024-07-24,14,9,16627.34
462,2025-09-03,15,6,18826.36
463,2025-04-23,16,5,10681.59
464,2025-09-16,15,12,12627.94
465,2023-10-14,17,8,19845.29
466,2024-03-07,16,8,5473.32
467,2023-07-13,15,6,8115.1
468,2024-08-05,7,5,14746.09
469,2025-12-05,5,13,10652.03
470,2025-11-13,2,3,21163.49
471,2024-07-22,6,11,23881.6
472,2025-06-24,1,4,5875.0
473,2024-06-02,13,1,20027.44
474,2023-03-01,2,6,17729.55
475,2023-12-13,11,15,7976.99
476,2024-07-14,1,5,9591.1
477,2024-05-20,3,15,12312.7
478,2024-02-13,7,5,6868.87
479,2025-02-28,6,1,6882.59
480,2025-11-17,9,2,5268.92
481,2023-03-11,19,7,7325.53
482,2023-02-14,6,13,11629.54
483,2024-07-05,14,13,18648.57
484,2023-01-02,6,8,11683.59
485,2024-05-12,15,12,9367.54
486,2025-03-17,14,10,11054.33
487,2025-06-10,7,5,9403.2
488,2025-05-13,2,5,16309.62
489,2024-10-15,1,3,5844.04
490,2025-07-11,4,10,18583.03
491,2025-08-09,14,1,8717.31
492,2025-05-04,10,6,6268.88
493,2023-06-22,8,3,19876.43
494,2025-11-15,4,7,26448.08
495,2024-01-16,14,5,6662.15
496,2024-03-29,11,2,9712.36
497,2023-01-26,13,8,6920.56
498,2025-09-23,19,2,15093.77
499,2025-02-07,16,4,15089.14
500,2024-10-12,4,11,15561.38
501,2025-04-20,14,7,8528.11
502,2025-08-24,8,3,9885.43
503,2024-05-10,20,8,8531.33
504,2025-11-30,14,14,18786.41
505,2025-06-20,17,11,12478.36
506,2025-10-03,3,8,6474.95
507,2024-08-13,5,9,9653.9
508,2025-06-19,16,12,14303.07
509,2023-11-16,6,6,14292.14
510,2025-10-18,7,6,14591.99
511,2023-04-25,3,13,7149.54
512,2023-09-29,3,15,13808.95
513,2024-09-06,20,8,21871.88
514,2024-09-05,17,5,7447.19
515,2025-06-03,6,2,8688.57
516,2025-03-22,7,13,17670.86
517,2024-09-13,16,15,7747.29
518,2023-10-14,12,11,10290.67
519,2024-07-15,15,14,7964.94
520,2024-07-27,16,4,12620.26
521,2025-06-16,18,2,10813.64
522,2025-01-09,11,14,13727.71
523,2023-04-09,16,13,14890.54
524,2023-06-29,17,14,17959.73
525,2025-03-09,10,1,9104.27
526,2024-02-15,18,8,18447.39
527,2025-05-18,10,3,5519.47
528,2024-02-11,15,7,10773.66
529,2025-01-03,16,12,10742.01
530,2025-03-09,3,11,13865.24
531,2025-04-29,10,6,2751.68
532,2025-04-06,7,5,9652.57
533,2025-06-20,15,7,9276.99
534,2025-10-06,4,8,15716.37
535,2024-06-30,17,10,9290.22
536,2024-05-02,2,14,12660.04
537,2024-06-22,7,8,19314.53
538,2023-07-13,18,3,4957.44
539,2023-10-18,17,4,14719.42
540,2025-05-18,5,9,6925.42
541,2023-06-03,10,1,14269.69
542,2024-02-01,14,7,8083.16
543,2024-07-18,5,11,10576.02
544,2023-05-25,15,3,22685.69
545,2023-04-27,14,7,24581.95
546,2025-02-08,20,14,18195.57
547,2025-08-01,15,14,11745.53
548,2024-05-24,12,6,9004.52
549,2025-10-20,6,14,6298.51
550,2025-10-15,13,6,20407.14
551,2023-07-05,7,2,22013.76
552,2024-04-04,1,8,21073.21
553,2024-06-23,12,13,12983.05
554,2024-04-11,11,2,19793.2
555,2024-07-19,3,12,17900.85
556,2023-01-14,19,6,12888.47
557,2025-04-06,3,2,14065.57
558,2025-07-14,3,6,3884.66
559,2025-12-19,6,1,5415.65
560,2024-01-08,20,8,6581.75
561,2025-11-27,6,10,15857.91
562,2024-11-23,18,2,7655.54
563,2025-11-30,19,2,8203.21
564,2024-02-16,18,11,8254.57
565,2024-09-18,20,7,10918.66
566,2024-12-21,13,4,22064.53
567,2025-02-20,1,1,9358.09
568,2023-11-16,13,1,13069.55
569,2023-01-21,14,12,18984.04
570,2025-09-27,6,15,8566.62
571,2024-06-19,10,5,4716.84
572,2025-09-07,2,8,623.95
573,2025-06-16,20,6,18099.94
574,2024-04-06,17,2,4161.31
575,2023-04-27,18,6,8066.21
576,2023-10-21,12,1,1293.76
577,2023-03-14,8,13,16830.35
578,2023-10-23,12,4,11204.03
579,2023-09-14,8,7,15700.43
580,2025-04-16,15,9,5382.03
581,2025-02-26,6,11,15712.95
582,2025-09-23,5,13,8194.64
583,2024-09-21,5,4,9592.78
584,2023-11-08,18,3,11193.2
585,2023-10-28,8,2,13963.87
586,2025-01-27,11,2,6645.19
587,2023-06-20,11,5,12298.58
588,2024-05-04,6,1,10675.76
589,2025-01-21,13,6,15761.93
590,2023-06-02,4,4,2030.81
591,2025-08-01,19,11,13250.89
592,2025-10-11,7,12,16054.13
593,2024-01-19,3,4,7479.18
594,2023-11-27,9,5,6432.66
595,2023-06-30,15,1,16074.66
596,2024-01-25,16,6,10162.07
597,2023-11-09,15,8,10488.44
598,2024-01-12,6,3,5226.35
599,2025-10-19,7,8,12015.23
600,2023-11-21,10,11,17438.09
601,2025-07-04,3,1,13210.91
602,2024-04-13,5,6,16057.32
603,2023-05-01,12,14,14989.42
604,2023-09-04,20,10,13022.24
605,2025-01-24,14,2,8414.95
606,2023-04-18,1,2,9262.27
607,2023-03-22,11,10,10141.81
608,2025-12-10,18,1,15100.86
609,2023-03-28,8,8,9074.5
610,2024-08-16,1,9,14884.14
611,2024-03-11,6,7,5274.23
612,2024-06-17,7,6,14701.99
613,2024-03-14,10,14,13403.83
614,2024-08-07,16,8,16312.0
615,2023-03-13,1,5,2572.87
616,2023-01-30,16,3,6540.29
617,2023-11-10,16,2,9907.23
618,2024-07-29,3,13,16721.22
619,2023-12-02,16,9,7541.85
620,2025-04-15,16,11,9931.46
621,2024-11-30,5,10,14973.14
622,2024-11-16,8,11,23810.74
623,2024-01-21,15,3,11114.28
624,2025-05-14,15,2,11989.8
625,2025-10-20,16,1,15847.38
626,2025-09-25,13,1,4350.08
627,2025-08-19,11,4,3925.59
628,2023-02-27,19,14,16180.43
629,2023-11-14,14,2,7721.24
630,2024-01-10,2,5,7739.51
631,2023-02-18,20,10,11425.33
632,2025-01-02,9,15,13110.86
633,2025-04-26,6,10,792.16
634,2023-01-25,2,9,5484.93
635,2024-03-13,16,13,8404.33
636,2023-05-20,17,3,10775.07
637,2025-07-10,12,7,9810.12
638,2024-07-29,9,7,15943.31
639,2025-09-29,11,2,12357.9
640,2024-01-28,12,5,12660.7
641,2024-10-19,18,9,16491.65
642,2025-10-14,6,15,11847.61
643,2024-01-22,1,2,16748.99
644,2025-03-03,16,7,6734.29
645,2023-05-03,7,1,6830.72
646,2024-06-30,19,13,8716.68
647,2024-05-10,14,4,13974.41
648,2025-02-26,15,3,13184.17
649,2025-04-07,13,3,6431.98
650,2023-05-13,19,4,8398.92
651,2025-11-25,8,14,7230.16
652,2024-01-16,9,14,5410.36
653,2023-12-10,14,15,8096.31
654,2025-12-28,6,3,5261.79
655,2023-11-16,2,8,9896.61
656,2025-02-11,2,2,16381.79
657,2025-04-09,17,6,4919.37
658,2024-10-06,12,1,7930.13
659,2024-02-24,15,6,15863.04
660,2023-03-24,18,8,5913.99
661,2025-07-31,11,13,13214.55
662,2023-11-11,17,2,8544.65
663,2023-11-07,7,7,9496.94
664,2025-02-01,11,10,16412.84
665,2024-09-07,11,9,6718.61
666,2024-11-09,13,7,5873.25
667,2024-04-27,4,5,11754.31
668,2025-05-27,1,3,13520.01
669,2023-07-24,10,6,3459.22
670,2024-07-01,16,2,18198.82
671,2025-08-26,6,12,13500.62
672,2023-08-30,19,15,7362.85
673,2024-09-11,18,12,18915.12
674,2024-01-12,19,14,3328.58
675,2024-02-19,16,5,17116.11
676,2025-06-09,20,4,21655.01
677,2023-03-21,9,5,5564.76
678,2023-06-05,14,1,14972.37
679,2023-08-26,18,5,13416.54
680,2023-07-23,16,1,5532.99
681,2023-05-21,10,5,1896.5
682,2023-09-06,15,6,22457.55
683,2025-12-05,11,3,19129.48
684,2025-01-25,13,6,5787.05
685,2023-10-02,15,2,10204.05
686,2023-03-08,11,2,5703.18
687,2024-01-14,10,6,18657.02
688,2024-08-31,3,13,3748.27
689,2023-08-07,12,7,15041.36
690,2025-11-09,5,3,9377.63
691,2025-12-16,13,4,12280.93
692,2024-01-27,4,7,13340.26
693,2023-08-08,1,7,8163.58
694,2025-03-08,5,4,10923.93
695,2024-02-22,17,5,10148.72
696,2025-09-03,9,14,9537.94
697,2025-11-23,4,5,15358.88
698,2023-01-07,16,9,9117.61
699,2024-07-10,14,5,17825.8
700,2023-06-06,1,12,2279.33
701,2023-10-05,18,8,5787.75
702,2024-03-04,15,15,10499.16
703,2025-09-01,8,1,10475.37
704,2023-02-13,4,11,14183.14
705,2023-11-22,3,14,2749.01
706,2025-12-23,17,12,15056.24
707,2026-01-01,13,13,15870.51
708,2024-04-19,18,15,12140.52
709,2024-11-11,9,5,11696.18
710,2024-11-22,9,14,1057.72
711,2023-06-19,19,2,16953.63
712,2023-10-30,18,14,14453.06
713,2024-06-19,1,11,7237.22
714,2024-07-05,14,3,13804.71
715,2023-02-04,12,13,14134.03
716,2024-05-24,16,8,20953.92
717,2023-11-21,14,5,7647.58
718,2024-05-30,10,13,6573.45
719,2025-04-05,2,3,4307.15
720,2024-08-18,9,14,14194.15
721,2024-08-16,11,1,14117.34
722,2023-04-09,4,9,13371.91
723,2025-10-22,4,8,14723.08
724,2025-02-11,8,12,10094.96
725,2024-12-09,20,13,4450.4
726,2025-09-04,13,9,4236.06
727,2023-07-08,14,2,9069.0
728,2025-06-10,13,7,14412.85
729,2023-12-26,7,2,7587.93
730,2023-10-20,18,11,14911.58
731,2025-02-05,7,4,23307.11
732,2023-12-06,9,10,25115.04
733,2025-12-05,15,2,10336.04
734,2024-01-25,7,3,3187.75
735,2025-08-26,1,9,5657.23
736,2025-01-10,11,11,13792.46
737,2024-06-28,14,11,5665.48
738,2023-10-26,14,2,12141.92
739,2025-11-08,10,14,8938.87
740,2025-03-03,4,14,4891.21
741,2025-12-04,6,14,5492.52
742,2024-07-30,15,8,14980.13
743,2023-05-17,2,3,10363.85
744,2024-12-07,6,4,11327.05
745,2025-08-15,11,3,11269.92
746,2025-03-21,5,14,8743.78
747,2025-08-06,5,15,21972.58
748,2024-04-23,20,8,9439.3
749,2023-09-01,14,7,9173.93
750,2023-11-23,12,6,11461.84
751,2023-11-04,9,7,21563.68
752,2023-03-19,5,15,17791.8
753,2025-11-14,20,6,17253.11
754,2025-07-14,6,1,17495.3
755,2023-11-12,17,8,9306.89
756,2023-04-17,8,6,10566.68
757,2024-02-06,19,7,10311.52
758,2024-02-03,8,14,12849.31
759,2024-03-31,19,4,10740.32
760,2024-10-26,13,14,5628.63
761,2025-11-15,20,2,12683.93
762,2024-11-02,11,14,12036.54
763,2024-10-11,14,8,11479.6
764,2024-12-25,3,1,7710.4
765,2024-04-26,12,3,14648.17
766,2024-11-21,11,9,14481.9
767,2024-04-15,10,6,10780.07
768,2024-09-13,4,5,13173.14
769,2025-04-26,10,11,8317.21
770,2023-08-05,6,12,10684.14
771,2025-11-28,16,7,16678.24
772,2023-07-29,18,4,12117.41
773,2024-03-14,6,3,18814.42
774,2025-08-06,4,8,19316.62
775,2023-04-24,3,3,15506.31
